Release Date,Number of Reviews,Plays,Playing,Wishlist
20130812,197,5100,95,42
20171220,299,5200,46,32
20141104,492,8200,334,636
20221122,85,186,13,149
20190910,647,4200,399,1000
20090914,837,6600,95,629
20090115,219,1000,47,343
20190903,153,727,54,136
20050915,1300,12000,418,1000
20121227,544,1700,250,1300
20130107,474,1200,128,842
20120424,140,2400,10,198
20210408,421,1200,25,631
20211112,1100,4100,1000,2600
19940402,1600,6100,312,1300
20150614,395,1800,90,380
19970322,564,4200,13,183
20130403,272,5500,83,163
20170330,379,3000,118,175
20151127,238,1500,57,255
20160307,239,2900,40,78
20200323,515,1900,210,1400
20191112,487,3800,76,917
20160512,1800,18000,541,1400
20170424,1400,8600,61,1300
19980112,269,2000,8,100
20130717,178,393,22,298
20011022,711,7800,88,373
20001214,716,7200,137,236
19921023,242,547,25,434
20230303,284,513,241,727
20070227,185,2500,20,35
20161118,648,7900,75,234
20220324,387,1200,141,1200
20190322,2300,14000,919,3400
20010623,842,5100,89,342
20091027,484,13000,1200,52
20210910,650,3100,571,1900
20121106,674,7600,57,277
20080827,487,9400,94,227
20150519,2000,17000,1200,1600
20200319,1900,12000,738,2400
19950805,1100,7100,141,360
20081111,788,12000,117,813
19941118,1300,11000,186,514
20130523,949,4300,397,1100
20200430,620,2900,80,538
20220325,1600,5900,955,3100
