Release Date,Number of Reviews,Plays,Playing,Rating,Wishlist
20211005,251,1900,51,2.5,172
20081027,405,6000,21,3.6,219
20210726,725,2500,357,4.2,2000
20190125,2500,15000,585,4.3,1900
20170224,3000,21000,2400,4.4,2300
20190927,880,4700,748,4.2,1200
20050419,1200,7100,388,4.0,1200
20220128,1600,9100,1600,3.7,2100
20180615,867,25000,470,3.0,126
20221028,107,477,11,3.3,115
20121009,1100,14000,268,3.9,866
20150129,1400,15000,209,3.4,817
20181211,48,110,39,3.8,185
20111214,62,1600,15,3.6,13
20121112,903,13000,57,3.8,286
20000629,594,1600,107,4.1,993
20100921,320,5400,56,3.9,140
20200511,419,7500,59,3.3,445
20220203,290,1400,176,3.1,876
20150605,147,3200,89,3.7,87
19991122,245,2300,26,3.4,117
20071101,2700,21000,468,4.3,1200
20221109,1700,5300,801,4.4,3300
20221028,347,1600,268,3.3,381
20070122,439,1600,87,4.0,838
20140204,184,1700,11,2.8,73
20210611,810,5500,713,3.9,1200
20070313,936,9300,89,4.0,687
20090815,112,1800,51,3.4,89
20180809,755,4300,235,3.3,904
20210924,334,1300,382,4.2,704
19960124,353,3800,11,3.6,181
20230210,474,1400,766,3.5,1600
20090505,719,14000,117,3.7,82
20111202,593,10000,59,3.5,141
20180420,2900,21000,1100,4.2,2600
20110823,559,5800,65,3.8,488
20111110,1700,22000,589,3.7,1000
20160226,1700,20000,2000,4.1,1100
20070409,688,6200,76,3.8,572
20071009,955,16000,505,3.9,158
20120619,446,4600,41,3.5,132
20160405,632,8900,403,3.6,441
20200403,1300,8400,157,3.2,1600
20091103,712,6100,148,4.0,534
20180326,558,6600,169,3.0,470
20150324,3400,17000,1100,4.5,3300
20201110,265,1000,70,4.5,286
20230125,926,3000,866,4.3,2000
20230124,211,252,32,2.3,847
20070712,173,976,19,3.6,110
20130926,499,2100,129,3.7,461
20210506,1800,9900,333,3.9,2800
20200613,53,350,90,4.4,54
20041116,1700,15000,257,4.2,1000
20091016,222,1600,18,3.7,242
20150120,159,2000,13,2.4,75
20041224,478,12000,198,3.8,242
20150311,780,7900,260,3.9,1400
20160524,957,19000,436,3.2,214
20181213,911,6600,227,3.6,1500
20141111,356,5100,362,4.2,463
20091030,229,496,96,4.3,592
20040429,530,2700,53,4.1,500
20210917,737,7500,222,4.3,753
20061202,319,3100,7,3.9,189
20200602,291,8200,650,2.5,110
20220505,492,1200,131,4.1,804
20130304,896,15000,175,3.5,508
20221108,974,2900,491,3.6,1800
